cpu_usage,memory_usage,temperature,battery_drain,upload_speed_kbps,download_speed_kbps,Target
47.0,79.0,36.4,-285.0,0.023100957,0.0223714519999993,1
24.0,68.0,27.5,-26.0,0.029028362,0.0,0
50.0,75.0,36.5,-388.0,0.0506167449999999,0.0,1
30.0,68.0,28.2,-25.00000000000003,0.058157567,0.0,0
24.0,67.0,28.9,-27.0,0.39236885,0.0368148569999995,0
51.0,76.0,36.9,-250.0,1.7509433,0.5668399000000002,1
29.0,78.0,32.6,-158.0,1.9293656,1.2393713000000002,1
45.0,68.0,30.5,-630.0,0.0392658560000001,0.1144082999999995,1
24.0,66.0,34.2,-417.0,0.1736084799999998,0.0981961860000004,1
39.0,67.0,31.0,-9.0,0.010139783,0.0,0
50.0,81.0,35.8,-116.0,0.2542070199999999,12.690461000000004,1
24.0,60.0,36.5,-77.0,0.0,0.0,0
55.0,78.0,32.3,-283.0,0.1852728400000001,0.0635359700000002,1
24.0,74.0,30.6,-45.0,2.2998965,1.3786339,0
45.0,67.0,31.5,-48.0,0.65443504,0.031025069,0
24.0,66.0,28.5,-34.0,0.053231854,0.0367783700000003,0
38.0,77.0,33.5,-236.0,0.12726156,0.06363078,1
24.0,67.0,30.0,-37.0,0.0290571539999999,0.0,0
55.0,73.0,34.4,-190.0,0.0,0.0,1
75.0,71.0,33.6,-26.0,0.0,0.0,1
24.0,67.0,28.8,-25.00000000000003,0.014514181,0.0,0
33.0,75.0,33.0,-212.0,0.2678613000000002,0.8466461300000008,1
62.0,76.0,32.6,-357.0,0.0,0.0,1
53.0,79.0,35.1,-258.0,4.361397,9.5100155,2
24.0,68.0,27.5,-26.0,0.6783366,0.0,0
40.0,75.0,37.0,-103.0,0.0956513999999999,0.0274285920000001,1
24.0,67.0,28.9,-21.99999999999997,0.6638008400000001,0.0,0
24.0,76.0,37.0,-95.0,0.61284536,1.0458106000000007,1
44.0,77.0,28.5,-86.0,0.0,0.0,1
24.0,67.0,28.9,-27.0,0.6769931,0.0,0
42.0,76.0,34.6,-287.0,4.253353,4.007751999999999,1
50.0,73.0,37.8,-246.0,0.68315583,0.0128943230000002,1
32.0,73.0,38.0,-199.0,1.6357725,0.7771253599999999,1
50.0,78.0,32.8,-301.0,1.5665792,1.9601665,1
42.0,76.0,30.0,-174.0,0.7657552,0.5158465000000003,1
35.0,79.0,34.2,-200.0,1.3223276,0.7176621600000006,1
29.0,76.0,31.6,-228.0,2.9311454,1.3867236000000005,1
45.0,76.0,37.0,-119.0,0.1110600499999999,0.0445706900000009,1
77.0,72.0,32.3,-639.0,0.05360373,0.0370353049999998,1
53.0,71.0,35.8,-368.0,1.468374,39.91124,2
38.0,78.0,33.0,-198.0,0.4387243400000001,0.1671330800000001,1
49.0,74.0,35.4,-200.0,1.1314874,3.065856000000001,1
41.0,76.0,31.3,-157.0,0.5035704,0.2402576700000005,1
49.0,79.0,31.6,-525.0,0.4125050999999999,0.6371534500000009,1
24.0,67.0,27.3,-26.0,0.3382453000000002,0.0,0
42.0,73.0,29.8,-250.0,0.39208072,0.061141305,1
24.0,66.0,30.3,-7.000000000000028,0.8704129500000001,0.4509662400000005,0
28.0,77.0,34.6,-195.0,0.1550099299999999,0.05570669,1
24.0,67.0,32.1,-26.0,0.03097126,0.0367783700000003,0
61.0,71.0,35.0,-613.0,0.0155977039999999,0.0185222739999999,1
24.0,68.0,27.5,-25.00000000000003,0.35291615,0.0,0
39.0,61.0,35.5,-266.0,1.5393479,3.5334864000000006,1
24.0,60.0,36.2,-110.0,0.3282603600000001,0.0309405940000004,0
24.0,68.0,28.3,-40.0,0.6785049400000001,0.0,0
41.0,71.0,36.0,-292.0,2.0299797,0.7498778000000006,1
49.0,77.0,36.0,-401.0,0.5249236000000002,0.2215586800000011,1
39.0,67.0,31.0,-9.0,0.010139783,0.0,0
41.0,81.0,35.1,-131.0,0.0,0.0,1
26.0,66.0,30.7,-8.000000000000028,0.12617497,0.0416685899999995,0
24.0,66.0,28.5,-23.99999999999997,0.35326594,0.0,0
24.0,73.0,32.8,-29.00000000000003,5.0184865,6.317667499999999,0
35.0,79.0,32.7,-194.0,2.852814,0.3222874400000002,1
70.0,69.0,32.8,-358.0,1.1407396999999997,0.2894957699999998,1
24.0,68.0,28.3,-28.0,0.7346573,0.0,0
44.0,69.0,36.3,-395.0,0.24238336,0.0557481720000008,1
47.0,68.0,33.5,-253.0,0.6714170600000001,0.0781055900000007,1
48.0,74.0,35.5,-305.0,0.2297793999999999,0.0637735199999998,1
45.0,74.0,31.2,-92.0,0.8793679,1.0582059999999998,1
24.0,66.0,30.3,-7.000000000000028,0.8704129500000001,0.4509662400000005,0
45.0,79.0,35.8,-206.0,1.3948467,8.470982,1
66.0,79.0,36.0,-383.0,0.72359604,1.4873648000000004,1
37.0,75.0,31.5,-181.0,0.08465482,0.4686335599999998,1
26.0,78.0,32.6,-143.0,0.12745175,0.0637258740000001,1
24.0,68.0,29.1,-25.00000000000003,0.3535287,0.0,0
26.0,68.0,31.4,-78.00000000000001,1.5045847,5.7806196,0
49.0,77.0,31.9,-412.0,4.574835,2.911657300000001,2
53.0,75.0,35.5,-476.0,1.597325,0.96803886,1
24.0,66.0,31.5,-33.0,0.98478514,0.1750944099999998,0
61.0,77.0,35.9,-374.0,0.1702997200000001,0.0633785900000005,1
24.0,66.0,28.5,-27.0,0.3387481600000001,0.0,0
57.0,68.0,33.9,-549.0,0.49800798,0.0559286330000001,1
41.0,75.0,35.6,-226.0,0.0375042599999999,0.0348426660000003,1
32.0,78.0,32.7,-130.0,0.7603288000000001,0.1883872200000009,1
37.0,80.0,34.3,-210.0,0.34575462,0.2423196,1
39.0,67.0,31.0,-9.0,0.010139783,0.0,0
53.0,76.0,37.3,-255.0,2.8924644,7.409369999999999,1
24.0,65.0,28.5,-29.00000000000003,0.33841276,0.0,0
24.0,78.0,28.5,-80.0,0.0,0.0,0
47.0,70.0,34.6,-160.0,0.19919448,0.037121505,1
24.0,66.0,31.0,-10.000000000000057,0.014291628,0.0060029649999999,0
31.0,82.0,31.3,-138.0,0.51525944,0.0,1
40.0,77.0,33.2,-294.0,0.0705362699999999,0.1444777400000001,1
35.0,66.0,31.7,-46.0,0.014912566,0.0084321830000009,0
45.0,69.0,32.8,-345.0,1.051139,32.47051999999999,2
74.0,68.0,31.5,-10.000000000000057,0.0194545399999999,0.023012891,1
55.0,73.0,37.2,-291.0,0.5488904000000001,0.2341608000000006,1
41.0,77.0,36.6,-216.0,8.426527,0.5744199000000005,2
26.0,66.0,30.7,-8.000000000000028,0.12617497,0.0416685899999995,0
24.0,67.0,28.8,-27.0,0.3386642000000001,0.0,0
24.0,65.0,28.5,-30.00000000000003,0.32471308,0.0,0
24.0,67.0,32.5,-30.00000000000003,0.04356413,0.0,0
48.0,70.0,33.0,-193.0,2.125474,18.224798,1
40.0,79.0,31.6,-143.0,0.3277819500000001,0.0634729300000009,1
53.0,77.0,32.3,-308.0,1.3503326,2.7431667,1
36.0,76.0,34.8,-152.0,1.9506993,0.8928779400000004,1
45.0,75.0,31.5,-223.0,1.5012103,2.962175100000001,1
24.0,68.0,28.9,-28.0,0.3530909399999999,0.0,0
24.0,66.0,32.5,-35.0,0.05223811,0.015236116,0
41.0,71.0,36.3,-360.0,0.2340823899999999,0.0,1
35.0,66.0,31.7,-46.0,0.014912566,0.0084321830000009,0
31.0,73.0,34.2,-188.0,1.4155654,28.696287,2
24.0,66.0,28.8,-26.0,0.3388321000000002,0.0,0
45.0,78.0,32.1,-167.0,0.8508279300000001,0.1002969150000003,1
41.0,72.0,32.8,-120.0,2.2011602,0.9544121600000004,1
24.0,71.0,33.2,-118.0,0.0125602879999999,0.0125602879999995,0
37.0,78.0,34.2,-191.0,0.0,0.2343167800000003,1
26.0,75.0,29.3,-87.0,0.0,0.0,0
65.0,78.0,30.6,-396.0,0.047264755,0.0346608200000004,1
24.0,68.0,27.5,-23.99999999999997,0.043520983,0.0,0
40.0,73.0,34.9,-214.0,0.1699529099999999,0.4519147299999999,1
24.0,66.0,32.5,-35.0,0.05223811,0.015236116,0
24.0,68.0,28.3,-27.0,0.043520983,0.0,0
49.0,69.0,32.7,-256.0,2.0696604,3.726216,1
40.0,76.0,29.1,-203.0,0.6967103000000001,0.0292019680000001,1
35.0,78.0,33.0,-217.0,0.2865814,0.3608982600000003,1
58.0,80.0,35.3,-474.0000000000001,5.966285,46.96632,2
35.0,75.0,31.0,-155.0,2.0231574,10.370384,1
24.0,68.0,31.4,-22.99999999999997,0.0,0.0,0
55.0,69.0,34.3,-153.0,0.06991052,0.0327705550000003,1
32.0,76.0,33.2,-152.0,0.11619981,0.0,1
60.0,76.0,34.5,-380.0,0.1412805899999999,0.5736332500000003,1
26.0,74.0,29.7,-112.0,0.4741018400000001,0.1340379999999998,0
24.0,67.0,31.5,-31.99999999999997,0.6478187,0.0,0
24.0,67.0,28.2,-26.0,0.0290715699999999,0.0,0
26.0,65.0,32.0,-230.0,0.80630255,29.376656,0
45.0,70.0,36.0,-155.0,0.0729322199999999,0.0,1
49.0,72.0,36.0,-357.0,4.533014,4.018546,2
24.0,66.0,30.3,-7.000000000000028,0.8704129500000001,0.4509662400000005,0
39.0,67.0,31.0,-9.0,0.010139783,0.0,0
44.0,64.0,33.6,-354.0,1.2632597999999997,2.2441810000000006,1
76.0,72.0,36.9,-258.0,1.1792636,12.198038,1
31.0,68.0,27.5,-23.99999999999997,0.33816162,0.0,0
36.0,75.0,30.9,-183.0,1.099422,0.7274444000000009,1
24.0,66.0,31.0,-10.000000000000057,0.014291628,0.0060029649999999,0
44.0,74.0,34.9,-333.0,0.040943973,0.0475242549999994,1
36.0,69.0,34.7,-282.0,4.054678,1.3997396000000006,1
50.0,77.0,32.6,-176.0,0.1271350799999999,0.0635675400000006,1
49.0,76.0,32.6,-271.0,1.9431427,1.8571973000000008,1
34.0,74.0,36.3,-162.0,1.0157223,0.186069820000001,1
