cpu_usage,memory_usage,temperature,battery_level,battery_drain,upload_speed_kbps,download_speed_kbps,brightness,Target
77.0,75.0,33.2,47.0,-308.0,0.0,0.0,23.0,1
93.0,75.0,33.2,47.0,-441.0,7.612117,111.01292399999997,23.0,1
50.0,75.0,33.2,47.0,-296.0,0.8422760400000001,0.14111047999999826,23.0,1
41.0,75.0,33.2,47.0,-229.0,1.7524115,0.2958395799999991,23.0,1
41.0,77.0,33.2,47.0,-224.0,1.5510539000000003,0.9219991599999986,23.0,1
44.0,77.0,33.2,47.0,-342.0,2.4548652,5.197097299999999,23.0,1
53.0,76.0,33.2,47.0,-259.0,3.7561777000000003,74.11498,23.0,1
60.0,77.0,33.2,47.0,-494.0,1.6927892,0.4927697799999997,23.0,1
82.0,79.0,33.2,47.0,-751.0,0.9587803,0.0618725100000006,40.0,0
86.0,79.0,33.5,47.0,-668.0,3.3072007,0.25638726000000034,40.0,0
69.0,80.0,33.5,47.0,-587.0,0.8304549,0.0,31.0,0
67.0,80.0,33.5,47.0,-586.0,0.07188821600000006,0.031086795000000222,31.0,0
61.0,80.0,33.5,47.0,-570.0,2.830088,18.864176,31.0,0
66.0,81.0,33.5,47.0,-578.0,3.7570190000000006,86.37304,31.0,0
63.0,81.0,33.5,47.0,-506.0,0.8263035000000001,2.6068369999999987,31.0,0
63.0,81.0,33.5,47.0,-742.0,1.5414153000000002,2.6367917,31.0,0
67.0,81.0,33.5,47.0,-645.0,1.2517667,80.89742,31.0,0
63.0,81.0,34.0,47.0,-563.0,2.4448056,81.25938,31.0,0
70.0,81.0,34.0,47.0,-509.0,0.15024038000000006,1.3314991999999997,31.0,0
83.0,82.0,34.0,47.0,-897.9999999999998,0.9302914,1.5430174,31.0,0
89.0,81.0,34.0,47.0,-613.0,0.0,0.0,31.0,0
65.0,82.0,34.0,47.0,-523.0,0.9663545000000001,79.45835,31.0,0
98.0,82.0,34.0,47.0,-520.0,1.421978,79.990456,31.0,0
77.0,81.0,34.0,47.0,-659.0,1.5631317,79.78459999999998,31.0,0
88.0,82.0,34.0,47.0,-580.0,0.8006841,0.0,31.0,0
80.0,78.0,34.0,47.0,-432.0,1.3301497000000002,0.20879406999999617,31.0,0
65.0,79.0,34.0,47.0,-428.0,8.707621,84.86660999999998,31.0,0
100.0,78.0,34.0,47.0,-670.0,0.74368805,0.09207798499999953,31.0,0
65.0,78.0,34.0,47.0,-466.0,1.2259907,80.104866,31.0,0
70.0,78.0,34.0,47.0,-491.0,0.07874720000000002,0.055414694999999625,31.0,0
89.0,78.0,34.0,47.0,-415.0,0.0,0.0,31.0,0
89.0,79.0,34.0,47.0,-499.0,1.5717844,80.761086,31.0,0
72.0,79.0,34.0,46.0,-536.0,0.20648708999999998,1.3616002000000016,31.0,0
65.0,79.0,34.0,46.0,-395.0,0.13784189999999996,1.3149680000000004,31.0,0
65.0,78.0,34.0,46.0,-372.0,0.22058479999999991,0.18942048999999983,31.0,0
89.0,79.0,34.0,46.0,-435.0,1.3078440000000002,79.48493,31.0,0
60.0,79.0,34.0,46.0,-617.0,0.05946624700000003,0.3901862999999999,31.0,0
63.0,79.0,34.0,46.0,-507.0,0.07549485599999994,0.08207021000000125,31.0,0
62.0,79.0,34.0,46.0,-515.0,0.9651421300000002,66.409164,31.0,0
71.0,80.0,34.0,46.0,-658.0,0.41700019999999993,0.13066167999999934,31.0,0
88.0,80.0,34.0,46.0,-579.0,1.2734919,0.6791470599999982,31.0,0
82.0,79.0,34.0,46.0,-560.0,0.0126415849999999,0.03525057399999909,31.0,0
73.0,80.0,34.0,46.0,-614.0,0.14009962999999992,0.08318415000000101,31.0,0
63.0,79.0,34.4,46.0,-246.0,7.666028,71.52526,23.0,1
67.0,81.0,34.4,46.0,-495.0,0.6955669999999999,0.06363078000000044,23.0,0
79.0,81.0,34.4,46.0,-841.0,0.5060679300000002,1.7352990000000013,31.0,0
88.0,82.0,34.4,46.0,-523.0,1.1281483,12.434167,31.0,0
75.0,82.0,34.4,46.0,-549.0,1.6022642999999999,79.31159,31.0,0
73.0,82.0,34.4,46.0,-810.0,0.03788703300000007,0.20230703000000005,31.0,0
55.0,82.0,34.4,46.0,-428.0,0.1273565700000001,0.06367828999999858,31.0,0
73.0,82.0,34.4,46.0,-534.0,1.7647083,79.68673,31.0,0
86.0,82.0,34.4,46.0,-515.0,0.44239110000000004,0.5043064400000006,31.0,0
70.0,82.0,34.4,46.0,-620.0,0.9507803300000001,80.16496,31.0,0
66.0,82.0,34.4,46.0,-639.0,0.15248167999999995,0.1029494100000008,31.0,0
87.0,82.0,34.4,46.0,-697.0,1.6843398,54.608833000000004,31.0,0
63.0,82.0,34.4,46.0,-613.0,0.6101691000000001,1.243937299999999,31.0,0
72.0,82.0,34.4,46.0,-576.0,1.1680834,0.39179160000000124,31.0,0
84.0,82.0,34.6,45.0,-603.0,0.037934203000000055,0.08243394000000137,31.0,0
62.0,81.0,34.6,45.0,-856.0,1.003291,41.578136,31.0,0
65.0,81.0,34.6,45.0,-727.0,2.2480419,0.5657242999999994,31.0,0
72.0,81.0,34.6,45.0,-758.0,0.3472978,54.45338,31.0,0
81.0,81.0,34.6,45.0,-460.0,0.21480001999999998,0.09039096000000413,31.0,0
65.0,81.0,34.6,45.0,-549.0,2.5308475,4.701256300000004,31.0,0
89.0,82.0,34.6,45.0,-531.0,1.6119604,51.582733,31.0,0
88.0,82.0,34.6,45.0,-691.0,0.09247289999999997,8.9820385,31.0,0
82.0,82.0,34.6,45.0,-624.0,0.0,0.0,31.0,0
88.0,81.0,34.6,45.0,-738.0,0.6549371999999999,0.05064198399999853,31.0,0
78.0,81.0,34.6,45.0,-566.0,1.2540504000000001,105.06688,31.0,0
55.0,81.0,34.6,45.0,-607.0,2.4304583,0.6208737999999983,31.0,0
71.0,82.0,34.6,45.0,-545.0,0.025314681000000006,0.06328669999999903,31.0,0
63.0,82.0,34.6,45.0,-743.0,1.0216159,39.41708,31.0,0
65.0,82.0,34.6,45.0,-441.0,0.6675206400000001,0.0801219599999996,31.0,0
54.0,82.0,34.6,45.0,-518.0,0.14995994,0.9549312999999984,31.0,0
69.0,82.0,34.6,45.0,-460.0,1.8708958999999998,123.62102499999997,31.0,0
62.0,82.0,34.6,45.0,-560.0,0.23013752999999992,0.1546426899999993,31.0,0
66.0,81.0,34.6,45.0,-897.0,0.012625869999999928,0.03132187199999947,31.0,0
66.0,82.0,34.6,45.0,-563.0,0.13662635999999995,0.09165148999999673,31.0,0
63.0,81.0,34.6,45.0,-553.0,0.5795067,0.8915487499999983,31.0,0
63.0,81.0,34.6,45.0,-600.0,0.4740452800000001,0.5042206600000014,31.0,0
73.0,81.0,34.6,45.0,-584.0,1.0302491000000003,1.1985968000000007,31.0,0
68.0,81.0,34.6,45.0,-571.0,0.037972019999999995,0.09249595,31.0,0
63.0,81.0,34.8,44.0,-497.0,0.1689596499999999,0.23143825000000007,31.0,0
64.0,81.0,34.8,44.0,-377.0,0.012610194000000075,0.02861543999999938,31.0,0
61.0,81.0,34.8,44.0,-475.0,0.054307587000000046,0.08426199999999895,31.0,0
64.0,82.0,34.8,44.0,-589.0,1.4906067,130.65521,31.0,0
67.0,82.0,34.8,44.0,-675.0,0.11451863000000007,0.1390236800000011,31.0,0
70.0,81.0,34.8,44.0,-594.0,0.22882105000000008,0.4386750200000016,31.0,0
76.0,82.0,34.8,44.0,-650.0,0.012629011000000023,0.032058257999999284,31.0,0
64.0,81.0,34.8,44.0,-497.0,0.0,0.0,31.0,0
52.0,81.0,34.8,44.0,-481.0,0.8347290000000002,13.441396000000001,31.0,0
56.0,81.0,34.8,44.0,-484.0,0.3767400000000001,129.31139999999996,31.0,0
52.0,81.0,34.8,44.0,-364.0,0.11697393000000011,0.12498251999999965,31.0,0
49.0,81.0,34.8,44.0,-474.0,1.6726514,67.91222,31.0,0
57.0,81.0,34.8,44.0,-695.0,8.051183,87.57044000000002,31.0,0
90.0,82.0,34.7,44.0,-414.0,0.14460403,0.6596952700000003,31.0,0
72.0,80.0,34.7,44.0,-528.0,2.2483761,2.147369099999999,31.0,0
61.0,80.0,34.7,44.0,-501.0,2.4033237,109.02013,31.0,0
72.0,80.0,34.7,44.0,-576.0,0.17724694000000007,0.24298412999999996,31.0,0
62.0,80.0,34.7,44.0,-572.0,1.425995,102.34968,31.0,0
80.0,81.0,34.7,44.0,-527.0,0.09446677599999997,0.11272710600000124,31.0,0
62.0,81.0,34.7,44.0,-509.0,0.043672359999999966,0.0,31.0,0
53.0,81.0,34.7,44.0,-430.0,0.48645976,0.8388576999999984,31.0,0
58.0,81.0,34.7,44.0,-439.0,0.3130257700000001,0.31351259999999925,31.0,0
82.0,81.0,34.7,44.0,-367.0,1.9704113999999997,33.92891,31.0,0
100.0,81.0,34.7,44.0,-461.0,3.0259821,79.672035,31.0,0
67.0,79.0,34.8,44.0,-860.0000000000001,4.516967,43.355286,31.0,0
66.0,80.0,34.8,44.0,-601.0,4.555671,52.27453,31.0,0
96.0,79.0,34.8,44.0,-530.0,0.970971,0.10623792999999893,31.0,0
69.0,79.0,34.8,44.0,-651.0,0.46253109999999986,0.14842777999999868,31.0,0
64.0,79.0,34.8,44.0,-544.0,0.9751057000000001,0.0,31.0,0
98.0,79.0,34.8,44.0,-539.0,3.665514,132.99878,31.0,0
61.0,79.0,34.8,44.0,-440.0,0.6749018,0.0637894199999991,31.0,0
63.0,79.0,34.8,44.0,-554.0,1.2266519,0.08401059999999916,31.0,0
72.0,79.0,34.8,44.0,-569.0,2.1172614,68.20835,31.0,0
61.0,79.0,34.8,44.0,-514.0,0.6868239000000002,0.02622948400000169,31.0,0
54.0,79.0,34.8,44.0,-443.0,1.9161636,0.0,31.0,0
51.0,79.0,34.8,44.0,-428.0,2.975532,65.91166,31.0,0
57.0,78.0,34.8,44.0,-619.0,3.0080657,68.89147,31.0,0
84.0,79.0,34.8,44.0,-830.0,1.3158252,0.7461839999999995,31.0,0
84.0,78.0,34.8,44.0,-535.0,1.7164046999999998,0.5308568499999993,31.0,0
63.0,78.0,35.0,43.0,-451.0,4.629441,66.54616999999999,31.0,0
83.0,79.0,35.0,43.0,-715.0,3.2337391,0.2432899500000012,31.0,0
63.0,79.0,35.0,43.0,-473.0,1.4641145,0.0,31.0,0
88.0,79.0,35.0,43.0,-570.0,1.5755241,66.42666,31.0,0
84.0,78.0,35.0,43.0,-502.0,0.6776147500000002,0.0,31.0,0
86.0,79.0,35.0,43.0,-597.0,1.13689,0.1403778200000012,31.0,0
86.0,78.0,35.0,43.0,-762.0,2.0316095,66.6524,31.0,0
63.0,78.0,35.0,43.0,-919.0,0.5874426,0.019662333999999504,31.0,0
62.0,78.0,35.0,43.0,-560.0,1.7544568999999999,0.12498833000000076,31.0,0
63.0,79.0,35.0,43.0,-549.0,1.7290756999999999,0.8189974000000007,31.0,0
63.0,79.0,35.0,43.0,-537.0,2.3171186,67.94265,31.0,0
74.0,79.0,35.0,43.0,-605.0,0.80208075,0.1297054099999997,31.0,0
57.0,79.0,35.0,43.0,-417.0,0.7335177000000002,0.06745829999999842,31.0,0
58.0,79.0,35.0,43.0,-405.0,2.2667425,67.26183,31.0,0
63.0,79.0,35.0,43.0,-649.0,1.0027854,0.1534528900000005,31.0,0
62.0,78.0,35.2,43.0,-499.0,4.2192664,71.12342,31.0,0
70.0,79.0,35.2,43.0,-556.0,2.7893462,0.1311148099999997,31.0,0
88.0,79.0,35.2,43.0,-544.0,1.0192019,0.08430405000000007,31.0,0
77.0,79.0,35.2,43.0,-507.0,0.6203444,0.07119502999999838,31.0,0
63.0,79.0,35.2,43.0,-556.0,1.5532457,25.342891999999996,31.0,0
53.0,79.0,35.2,43.0,-440.0,0.6442397,0.06413245999999972,31.0,0
70.0,79.0,35.2,43.0,-409.0,0.5511678499999999,0.146411539999999,31.0,0
51.0,79.0,35.2,43.0,-386.0,1.3034617,106.82329599999997,31.0,0
49.0,79.0,35.2,43.0,-458.0,0.7164693,0.14047941999999836,31.0,0
60.0,79.0,35.2,43.0,-483.0,1.8049921,115.89237,31.0,0
85.0,79.0,35.2,43.0,-548.0,1.2748145000000002,0.03627718999999985,31.0,0
63.0,79.0,35.3,42.0,-503.0,1.4683670000000002,0.17592219000000142,31.0,0
77.0,79.0,35.3,42.0,-703.0,2.6797616,0.7298032600000006,31.0,0
60.0,79.0,35.3,42.0,-612.0,2.237083,111.96325000000002,31.0,0
61.0,79.0,35.3,42.0,-538.0,1.0364712,0.0,31.0,0
58.0,79.0,35.3,42.0,-547.0,1.2041914,117.34251,31.0,0
55.0,79.0,35.3,42.0,-493.0,0.4370238799999999,0.21450365999999832,31.0,0
58.0,79.0,35.3,42.0,-457.0,0.42723095,0.14588965000000087,31.0,0
58.0,79.0,35.3,42.0,-495.0,0.6957068,20.273808000000002,31.0,0
52.0,79.0,35.3,42.0,-437.0,0.26083763999999987,0.09836055999999971,31.0,0
60.0,79.0,35.3,42.0,-605.0,0.2747872,0.032770554999999035,31.0,0
67.0,79.0,35.3,42.0,-527.0,1.7674612,102.14825000000002,31.0,0
63.0,79.0,35.3,42.0,-546.0,0.15882233999999995,0.0280131439999991,31.0,0
68.0,79.0,35.3,42.0,-532.0,1.2992485,13.105717,31.0,0
72.0,80.0,35.3,42.0,-533.0,1.6194276999999997,2.147903200000002,31.0,0
62.0,80.0,35.1,42.0,-504.0,4.9085817,2.4899060000000013,31.0,0
70.0,80.0,35.1,42.0,-622.0,6.5590415,109.48166,31.0,0
72.0,80.0,35.1,42.0,-698.0,0.11666251999999999,0.0,31.0,0
65.0,79.0,35.1,42.0,-489.0,0.4999766299999999,0.06018236999999971,31.0,0
62.0,80.0,35.1,42.0,-619.0,2.7881322,0.17627657999999968,31.0,0
60.0,80.0,35.1,42.0,-597.0,2.2736928,30.866099999999996,31.0,0
62.0,80.0,35.1,42.0,-521.0,0.3389560599999999,15.396764000000003,31.0,0
79.0,79.0,35.1,42.0,-552.0,0.8024543,0.08486561999999509,31.0,0
64.0,79.0,35.1,42.0,-552.0,1.7646229,0.9772922400000006,31.0,0
63.0,79.0,35.1,42.0,-534.0,0.25130337,14.125436,31.0,0
62.0,80.0,35.1,42.0,-498.0,0.4998058999999999,0.030328027999999563,31.0,0
49.0,80.0,35.1,42.0,-440.0,1.2004241,0.05139802800000126,31.0,0
59.0,80.0,35.1,42.0,-458.0,0.6666543500000001,0.15143514000000025,31.0,0
64.0,80.0,35.1,42.0,-524.0,0.30805624,1.3850401999999988,31.0,0
53.0,80.0,35.1,42.0,-396.0,1.1797497000000001,0.660844560000001,31.0,0
55.0,79.0,35.1,42.0,-371.0,0.7980563,17.203869,31.0,0
51.0,80.0,35.1,42.0,-435.0,0.10003574000000004,0.027679794000000868,31.0,0
51.0,80.0,35.1,42.0,-407.0,0.10135055999999998,0.13537712000000113,31.0,0
55.0,80.0,35.1,42.0,-489.0,0.49082877999999996,13.680852000000002,31.0,0
63.0,80.0,35.1,42.0,-375.0,0.3302936300000001,0.6867971399999995,31.0,0
58.0,80.0,35.1,42.0,-486.0,1.1930909,15.333465,31.0,0
86.0,80.0,34.9,41.0,-394.0,0.20254989999999995,0.046873059999999356,31.0,0
66.0,80.0,34.9,41.0,-356.0,0.08042850999999995,0.11882037000000167,31.0,0
66.0,80.0,34.9,41.0,-420.0,1.3814610000000003,18.669022,31.0,0
51.0,80.0,34.9,41.0,-418.0,0.5642145000000001,7.949058000000003,31.0,0
63.0,80.0,34.9,41.0,-674.0,2.9624498,85.58196000000001,31.0,0
63.0,80.0,34.9,41.0,-360.0,0.2567214,0.09165148999999673,31.0,0
49.0,80.0,34.9,41.0,-436.0,2.591123,8.078393000000002,31.0,0
63.0,80.0,34.9,41.0,-526.0,2.2004788,109.44362999999998,31.0,0
62.0,81.0,34.9,41.0,-511.0,0.33713210000000005,13.807557,31.0,0
65.0,80.0,34.9,41.0,-564.0,0.5588688000000002,0.0281864270000014,31.0,0
50.0,80.0,34.9,41.0,-589.0,1.2501652,14.612232000000002,31.0,0
63.0,80.0,34.7,41.0,-608.0,1.7597535,40.154064,31.0,0
51.0,80.0,34.7,41.0,-431.0,2.591282,125.922585,31.0,0
54.0,80.0,34.7,41.0,-547.0,0.6195083,0.11400506000000021,31.0,0
70.0,79.0,34.7,41.0,-494.0,7.7198405,28.722483,31.0,0
59.0,79.0,34.7,41.0,-460.0,3.7087512,8.676345,31.0,0
88.0,79.0,34.7,41.0,-600.0,0.6899098,12.828679000000001,31.0,0
81.0,79.0,34.7,41.0,-550.0,0.7407483000000001,14.993893,31.0,0
68.0,79.0,34.7,41.0,-569.0,0.4735732400000001,0.1157191249999947,31.0,0
81.0,79.0,34.7,41.0,-623.0,1.4821173000000003,117.78696400000001,31.0,0
81.0,79.0,34.7,41.0,-610.0,0.1420454499999999,0.2777669699999983,31.0,0
73.0,79.0,34.7,41.0,-589.0,1.6999329999999997,16.348127,31.0,0
78.0,80.0,34.7,40.0,-700.0,4.5850797,79.49189,31.0,0
89.0,79.0,34.7,40.0,-479.0,1.7399334,1.4879798000000015,31.0,0
75.0,81.0,34.7,40.0,-672.0,6.07243,18.13682,31.0,0
88.0,81.0,34.7,40.0,-390.0,3.73503,11.84504,31.0,0
85.0,79.0,34.7,40.0,-701.0,1.5432458,0.13954365000000024,31.0,0
88.0,79.0,34.7,40.0,-715.0,0.19652863999999992,0.11115543500000058,31.0,0
88.0,79.0,34.7,40.0,-619.0,0.7435965000000001,0.08502409600000149,31.0,0
65.0,80.0,34.7,40.0,-560.0,0.04373755700000004,0.0,31.0,0
89.0,80.0,34.7,40.0,-690.0,2.4666831,0.26929596000000444,31.0,0
67.0,80.0,34.7,40.0,-553.0,0.7809097000000002,0.48147592000000117,31.0,0
89.0,80.0,34.7,40.0,-619.0,0.34804316999999996,0.25544229999999857,31.0,0
84.0,80.0,34.7,40.0,-484.0,0.10202891999999997,0.0,31.0,0
89.0,80.0,35.3,40.0,-415.0,0.23386932999999988,0.15437319999999843,31.0,0
74.0,80.0,35.3,40.0,-522.0,0.18401825000000005,0.08421999000000113,31.0,0
88.0,80.0,35.3,40.0,-529.0,0.71060294,0.10964144000000076,31.0,0
82.0,80.0,35.3,40.0,-396.0,0.5174051,0.8703031500000016,31.0,0
72.0,80.0,35.3,40.0,-649.0,1.9798802,0.7082814599999985,31.0,0
76.0,79.0,35.3,40.0,-562.0,0.13631539000000004,0.03523303200000072,31.0,0
81.0,79.0,35.3,40.0,-587.0,0.29214240000000014,1.9166679000000002,31.0,0
72.0,80.0,35.3,40.0,-551.0,2.6156185,77.77877,31.0,0
80.0,80.0,35.3,40.0,-577.0,0.12553718999999997,0.0878273699999994,31.0,0
66.0,79.0,35.3,40.0,-588.0,1.0577806,0.0790295900000011,31.0,0
50.0,79.0,35.3,40.0,-422.0,0.041814473000000074,0.033305716000000984,31.0,0
68.0,79.0,35.3,40.0,-545.0,0.12713507999999996,0.06356753999999754,31.0,0
90.0,79.0,35.3,40.0,-941.0,1.0913233,0.7100057600000014,23.0,0
74.0,77.0,35.3,40.0,-401.0,2.7551186,0.5731308999999953,31.0,0
76.0,76.0,35.1,39.0,-461.0,1.5881324,4.6854534,31.0,0
84.0,77.0,35.1,39.0,-503.0,0.9317973,0.20168668000000167,31.0,0
86.0,78.0,35.1,39.0,-527.0,0.0,0.15551131999999868,31.0,0
77.0,77.0,35.1,39.0,-552.0,0.7136512,0.03936380000000028,31.0,0
88.0,77.0,35.1,39.0,-604.0,2.5308475,0.1776672899999987,31.0,0
61.0,77.0,35.1,39.0,-625.0,0.7180750000000001,0.09823985999999962,31.0,0
57.0,78.0,35.1,39.0,-452.0,0.13985580000000009,0.09348000600000006,31.0,0
75.0,78.0,35.1,39.0,-455.0,0.9592588000000001,0.2549249799999984,31.0,0
