timestamp,cpu_usage,memory_usage,temperature,battery_level,battery_current_mA,battery_charging,upload_speed_kbps,download_speed_kbps,screen_on,brightness,class,confidence,inference_time_ms
2026-04-30 10:06:18,45,66,33.2,84,-166.0,0,0.0,0.0,1,24,"Low Activity",0.9999949,731.201145
2026-04-30 10:06:22,34,66,33.2,84,-227.0,0,0.5430213,0.13113284,1,24,"Low Activity",0.9999969,209.796666
2026-04-30 10:06:25,35,65,33.2,84,-296.0,0,5.946164,124.69149,1,24,"Network Activity",0.9999994,147.783073
2026-04-30 10:06:30,36,65,33.2,84,-270.0,0,0.731633,0.29663423,1,24,"Low Activity",0.9999895,202.428594
2026-04-30 10:06:34,35,66,33.2,84,-222.0,0,0.9362569,0.31224748,1,24,"Low Activity",0.99999774,311.011145
2026-04-30 10:06:38,35,66,33.2,84,-200.0,0,3.808521,13.117026,1,24,"Low Activity",0.9994184,183.740365
2026-04-30 10:06:42,27,66,33.2,84,-166.0,0,3.411656,156.99055,1,24,"Network Activity",0.9999988,171.416666
2026-04-30 10:06:46,35,66,33.2,84,-377.0,0,4.920605,15.006987,1,24,"Low Activity",0.7726511,174.666458
2026-04-30 10:06:50,65,66,33.2,84,-362.0,0,4.6819196,138.03862,1,24,"Network Activity",1.0,181.678073
2026-04-30 10:06:54,100,68,33.2,84,-558.0,0,3.5463233,2.0697005,1,24,"Compute-Heavy Activity",0.9626619,192.251822
2026-04-30 10:06:58,38,67,33.2,84,-199.0,0,16.342947,30.034529,1,24,"Network Activity",0.99999464,235.927812
2026-04-30 10:07:02,35,68,33.2,84,-203.0,0,10.244926,669.2283,1,24,"Compute-Heavy Activity",1.0,129.43698
2026-04-30 10:07:06,35,68,33.2,84,-213.0,0,3.8320253,188.69244,1,24,"Network Activity",1.0,178.710313
2026-04-30 10:07:10,45,68,33.2,84,-208.0,0,1.5043486,12.718893,1,24,"Low Activity",0.9996772,154.614271
2026-04-30 10:07:14,43,67,33.2,84,-188.0,0,1.7359762,0.27974573,1,24,"Low Activity",0.9999707,151.440521
2026-04-30 10:07:18,42,66,33.2,84,-198.0,0,3.0127683,179.29347,1,24,"Network Activity",1.0,319.989635
2026-04-30 10:07:22,35,67,33.2,84,-197.0,0,3.3584342,194.87018,1,24,"Compute-Heavy Activity",0.99996257,255.025156
2026-04-30 10:07:26,50,66,33.2,84,-225.0,0,6.2453,3.9089148,1,24,"Low Activity",0.90719736,151.056094
2026-04-30 10:07:30,43,66,33.2,84,-217.0,0,4.672353,182.76672,1,24,"Network Activity",1.0,329.655469
2026-04-30 10:07:34,35,66,33.2,84,-196.0,0,6.06935,143.23865,1,24,"Network Activity",0.9999999,162.622447
2026-04-30 10:07:38,35,66,33.2,84,-224.0,0,1.380189,0.44098127,1,24,"Low Activity",0.9999939,171.058854
2026-04-30 10:07:42,35,67,33.2,84,-179.0,0,1.3959556,0.6643827,1,24,"Low Activity",0.9999962,333.919479
2026-04-30 10:07:46,48,66,33.2,84,-208.0,0,0.48561567,0.73908573,1,24,"Low Activity",0.9999554,113.734167
2026-04-30 10:07:50,35,67,33.2,84,-209.0,0,2.7320442,84.789276,1,24,"Network Activity",0.9805039,185.861615
2026-04-30 10:07:54,42,67,33.3,84,-205.0,0,0.90321714,0.26472348,1,24,"Low Activity",0.9999769,358.759115
